ID,Tok Pisin,English
825,gras bilong ai,"eyebrow, eyelash"
826,em i tru,"fact, in"
827,no inap mekim | pelim,fail
828,pundaun,fall down
829,giaman,false | joke | lie (n)
830,i gat biknem,famous
831,brum bilong winim pes,fan
832,let bilong karapela,fan belt
833,arasait,"far side | opposite | other side, opposite side"
834,fe,fare
835,man bilong wokim gaden,farmer
836,kwik,fast | quickly
837,pasim let,fasten seatbelt
838,fatwel,"fat (for greasing body) , oil"
839,patpela,"fat, large"
840,papa,father | daddy
841,asua; rong,fault
842,kwik piksa leta,fax
843,tumbuan,feather draped ceremonial body mask
844,pilim,feel | touch
845,katim diwai i pundaun,fell a tree
846,wanwok,fellow worker
847,sem bilong meri,female genitals
848,banisim,fence in | enclose
849,banis,fence | ribs | wall
850,sua i sting,festered (stinking) wound
851,skin i hat; fiva,fever
852,ples kunai,field | grassy patch
853,fiftifaiv,fifty-five
854,pikus tri,fig tree
855,pait,fight (vb) | war
856,fail,file
857,pilum,film (camera)
858,pilta,filter
859,pul bilong pis,fin of fish
860,pinis tru,finally
861,painim aut,find out
862,bilas,finery | decoration | jewelry
863,kapa bilong pinga,fingernail
864,paiawut,firewood
865,nambawan,first rate | best
866,pastaim,"first, firstly"
867,supsup,fish spear
868,oraitim,fix up
869,kol pinis,flat (of battery)
870,tok grisim,flatter
871,kapupu | piak,"flatulate, fart"
872,purpur,floor | woman's
873,plaua,flower | flour
874,lang,fly (insect) | lungs
875,plai,fly (vb) | flies (bird)
876,ranim balus,fly a plane
877,blakbokis,flying fox
878,sno,fog | mist
879,brukim pepa/klos,fold paper/clothes
880,bihainim,follow | copy | imitate
881,kaikai,food | meal
882,kikbal,football
883,mak bilong fut,footprint
884,i tambu,forbidden
885,ples tambu,forbidden place
886,han daunbilo | han tambolo,"forearm, lower arm"
887,bilong longwe ples,foreign
888,han (bilong pik),foreleg (of pig))
889,bus,forest | countryside | bush | jungle
890,lusim tingting long,forgive
891,sikrapim bel bilong,fornicate | excite
892,fotnait,fortnight
893,poret,forwards
894,fowil draiv,four-wheel drive
895,bun i bruk,"fracture, broken bone"
896,i no gat man o meri,free (vacant)
897,taim bilong malolo,free time
898,i bin praim,fried
899,prairais,fried rice
900,wantok,"friend | mate, close friend"
901,rokrok,frog
902,bilong,from | in order to
903,panggal,frond
904,ai bilong,"front of, in"
905,arere bilong kantri,frontier
906,grileglas,frosted glass
907,i ais pinis,frozen
908,praim,fry
909,praipan,frying pan
910,bikpela mun | raunpela mun,full moon
911,paniman,"funnyman, clown"
912,gras bilong dok,fur (of dog)
913,gras,fur | grass | hair
914,mosong,"fuzz, fine hair"
915,galen,gallon
916,haus win,"garden house, summer house"
917,bensin,gasoline | petrol (gasoline)
918,giabokis,gearbox
919,oloboi  | oloman,gee!
920,kok (bilong man) | sem (bilong meri) ; bol,genitals
921,kan,genitals | female genitals
922,kalap long PMV,get into a PMV
923,kisim pe,get paid
924,rausim,"get rid of, throw away | throw away"
925,sanap,"get up | stand up, be erect"
926,dewel bilong man i dai,ghost (of dead person)
927,gorgor | kawawar,ginger
928,meri,girl | person | wife | woman | female
929,glas,glass (substance) | glass (container)
930,golo,"globe, bulb"
931,lam,"globe, bulb | lamp"
932,man bilong kaikai,glutton
933,natnat,gnat | mosquito
934,gohet,go ahead
935,go daun,go down
936,koan!,go on!
937,go long skul,go to school
938,gude | yu stap,good day
939,moning,good morning
940,gut nait,good night
941,man bilong wok,good worker | industrious person
942,lukim yu behain,"goodbye, bye, see you later"
943,tok baksait,gossip about
944,gat,got | have
945,kiap,government officer
946,giram,gram
947,ol pikinini bilong rop wain,grapes
948,hul (bilong planim man),grave
949,welim; gris,grease
950,grisim,grease | oil (something)
951,em nau!,great! fantastic!; literally 'him now!'
952,kulau,green coconut - kulau
953,grins | sayor,greens | vegetables
954,tok gude,greet
955,kukim (antap) long paia,grill
956,sangana,groin | armpit
957,mumu,"ground oven | cooking pit, ground oven"
958,graun,ground | earth | world | clay
959,sambai long,guard (vb
960,guava | yambo,guava
961,buk em i soim rot,guidebook
962,wari,"guilt | problems | worry, worries"
963,mambu bilong nek,gullet | windpipe
964,gan | raifol,gun | rifle
965,man i save katim gras bilong het,hairdresser
966,hap pas seven,half past seven
967,hap,half | place | piece | over-there
968,hapim,halve
969,lek bilong pik,ham
970,hanpaus,handbag
971,hankisip,handkerchief
972,hangamapim,hang (something) up
973,pasis,harbour (n)
974,strongpela,hard | strong
975,pamuk meri,harlot
