malolo,rest
mama i karim,born
"mama, mami",mother
"mama, mami",mummy
"mama, mami",mom
mambu,bamboo pipe
mambu,bamboo
mambu bilong bensin,petrol pipe
mambu bilong blut,vein
mambu bilong blut,artery
mambu bilong nek,gullet
mambu bilong nek,windpipe
mambu bilong wara,water pipe
"mami, yam",yam
man,male
man,man
man bilong bikmaus,loudmouth
"man bilong giaman, giamanman",liar
man bilong kaikai,glutton
man bilong lotu,churchgoer
man bilong nambis,coastal man
man bilong pait,aggressive person
man bilong pait,warrior
man bilong samapim klos,tailor (n)
man bilong save,learned person
man bilong save,clever person
man bilong toktok,talkative person
man bilong wok,good worker
man bilong wok,industrious person
man bilong wokim gaden,farmer
man bisnis,businessman
man i gat kot,the accused
man i go i kam long kot,persistent offender
man i save katim gras bilong het,hairdresser
man i soim rot or gait,guide
man i tanim tok ples,interpreter
man i wokim,artificial
"man nogut, raskol",criminal
"man, meri",person
Mande,Monday
mangal,envy
mangalim,"covet, be jealous of"
mango,mango
mani,money
mani ain,coin
"manmeri , pipel",men & women
"manmeri, pipel",people
map,map
marasin,medicine
"marasin bilong kilim jem, marasin bilong klinim sua",antiseptic
marimari,"pity, mercy"
marit,married
marita,pandanus fruit
maritim,marry
maritman,husband
maritman/meri,married man/woman
mas,must
Mas,March
masalai,spirit
masin,machine
masis,matches
masis i kol,"matches are wet, won't light"
"masket, raifol, gan",gun
maski,never mind
maski,although
maski,"forget about, ignore"
masta,white adult male (term originated in colonial times)
masta mak,surveyor
"masta, bos",boss
"mastamisis, ol waitman",Europeans
mastet,mustard
mat or tepik,carpet
matakiau,blind in one eye
mau,ripe
maunten,mountain
maunten,hill
maus,mouth
maus bilong gumi,valve stem on inner tube
mausgras,catfish
mausgras,moustache
mauspas,dumb
me,may
mekenik,mechanic
mekim,do
mekim gen,repeat
mekim i masis,blow out a match
mekim long pinga long,point out
mekim Misa,celebrate Mass
mekim ofa,offer
mekim poisen long,make magic against
mel long balus,air mail
melen,melon
meme,pulp
"meme, me",goat
memeim,pound
memeim,pulverize
menaga,manager
meri,wife
meri,woman
meri,female
mi,me
mi,I
mi laikim yu tru,I love you
mi wanpela,I alone
mi yet,I myself
miksim,mix
milimita,millimetre
min,mean
minit,minute
minit,moment
mipela,we
misin,mission
misinare,missionary
misis,"woman, wife (European)"
misis kwin,queen
"missinari, misinari",missionary
mit,steak
mit bilong lek,thigh
mit bilong pikinini bulmakau,veal
"mit, solmit",saltmeat
mita,metre
"mitim ka, bungim ka",pass (oncoming) car
mitripela,we (three excl)
mitupela,we (two excl)
mo,more
moa nogut,worse
moa tru,most
mobeta,better
mobeta sapos,it would be better if
moga,ceremony surrounding the giving away of goods to display one's wealth (Highlands)
Mokolkols,nomadic tribe from East New Britain province
moning,good morning
moningtaim,morning
moran,python
moran,carpet snake
mosong,"fuzz, fine hair"
motobaik,motor-bike
motu,indigenous people of the Port Moresby area; language spoken by these people; one of the three nation
mowa,lawnmower
muli,lime (powder)
muli,lemon
muliwara,"like, as"
